,Results,Prediction,Accuracy,,224/480
166,bryce,adhy,0.99997604,Nope,
167,bryce,adhy,0.99997675,Nope,
168,bryce,bryce,0.9992291,Match,
169,bryce,bryce,0.9998765,Match,
170,bryce,bryce,0.99982566,Match,
171,bryce,bryce,0.9998697,Match,
172,bryce,bryce,0.9997621,Match,
173,bryce,bryce,0.9998908,Match,
174,bryce,bryce,0.9990909,Match,
175,bryce,bryce,0.9471765,Match,
176,bryce,bryce,0.78550637,Match,
177,bryce,bryce,0.8083787,Match,
178,bryce,bryce,0.80278003,Match,
179,bryce,bryce,0.91503966,Match,
180,bryce,chris,0.9446956,Nope,
181,bryce,adhy,0.9257105,Nope,
182,bryce,chris,0.9645555,Nope,
183,bryce,qk,0.75994384,Nope,
184,bryce,chris,0.74013627,Nope,
185,bryce,chris,0.8504905,Nope,
186,bryce,qk,0.5120565,Nope,
187,bryce,adhy,0.85010237,Nope,
188,bryce,adhy,0.9989555,Nope,
189,bryce,adhy,0.86905754,Nope,
190,bryce,adhy,0.74639785,Nope,
191,bryce,adhy,0.89781356,Nope,
192,chris,chris,0.9365319,Match,
193,chris,chris,0.995146,Match,
194,chris,chris,0.9874944,Match,
195,chris,chris,0.9914294,Match,
196,chris,chris,0.92400765,Match,
197,chris,chris,0.9208741,Match,
198,chris,adhy,0.8601444,Nope,
199,chris,adhy,0.9709817,Nope,
200,chris,adhy,0.98313946,Nope,
201,chris,adhy,0.92583394,Nope,
202,chris,adhy,0.93616223,Nope,
203,chris,adhy,0.9832698,Nope,
204,chris,jonah,0.99980503,Nope,
205,chris,jonah,0.9988159,Nope,
206,chris,jonah,0.9980877,Nope,
207,chris,jonah,0.99633324,Nope,
208,chris,jonah,0.99940133,Nope,
209,chris,jonah,0.9960932,Nope,
210,chris,chris,0.99994564,Match,
211,chris,chris,0.99918956,Match,
212,chris,chris,0.99981874,Match,
213,chris,chris,0.99957365,Match,
214,chris,chris,0.9997732,Match,
215,chris,chris,0.99725324,Match,
216,chris,bryce,0.9899165,Nope,
217,chris,adhy,0.5873387,Nope,
218,chris,bryce,0.6954328,Nope,
219,chris,bryce,0.86220187,Nope,
220,chris,adhy,0.73722506,Nope,
221,chris,bryce,0.7717237,Nope,
222,chris,bryce,0.7917371,Nope,
223,chris,adhy,0.8567588,Nope,
224,chris,adhy,0.7741973,Nope,
225,chris,adhy,0.9415763,Nope,
226,chris,adhy,0.96907324,Nope,
227,chris,adhy,0.97596097,Nope,
228,chris,chris,0.9999188,Match,
229,chris,chris,0.99161667,Match,
230,chris,chris,0.9988642,Match,
231,chris,chris,0.9988403,Match,
232,chris,chris,0.9997385,Match,
233,chris,chris,0.9998803,Match,
234,chris,qk,0.8897241,Nope,
235,chris,qk,0.9344935,Nope,
236,chris,qk,0.95910573,Nope,
237,chris,qk,0.97611135,Nope,
238,chris,qk,0.99101233,Nope,
239,chris,qk,0.9356231,Nope,
240,cy,qk,0.3774963,Nope,
241,cy,cy,0.76598555,Match,
242,cy,qk,0.49631876,Nope,
243,cy,qk,0.58358735,Nope,
244,cy,qk,0.44899064,Nope,
245,cy,qk,0.5200565,Nope,
246,cy,cy,0.99999046,Match,
247,cy,cy,0.9999902,Match,
248,cy,cy,0.9999918,Match,
249,cy,cy,0.9999907,Match,
250,cy,cy,0.99999106,Match,
251,cy,cy,0.9999913,Match,
252,cy,jonah,0.99927026,Nope,
253,cy,jonah,0.5034288,Nope,
254,cy,cy,0.99181753,Match,
255,cy,jonah,0.99975795,Nope,
256,cy,jonah,0.9993998,Nope,
257,cy,jonah,0.999302,Nope,
258,cy,qk,0.99993813,Nope,
259,cy,cy,0.99910396,Match,
260,cy,qk,0.99786025,Nope,
261,cy,qk,0.9999466,Nope,
262,cy,qk,0.9999639,Nope,
263,cy,qk,0.99995375,Nope,
264,cy,cy,0.9999918,Match,
265,cy,cy,0.99999225,Match,
266,cy,cy,0.9999914,Match,
267,cy,cy,0.99999213,Match,
268,cy,cy,0.99999106,Match,
269,cy,cy,0.9999914,Match,
270,cy,adhy,0.99432725,Nope,
271,cy,bryce,0.79393923,Nope,
272,cy,adhy,0.6696789,Nope,
273,cy,adhy,0.99941444,Nope,
274,cy,adhy,0.92237425,Nope,
275,cy,adhy,0.99197257,Nope,
276,cy,cy,0.9999862,Match,
277,cy,cy,0.999974,Match,
278,cy,cy,0.9995882,Match,
279,cy,cy,0.9999553,Match,
280,cy,cy,0.9999908,Match,
281,cy,cy,0.95092666,Match,
282,cy,jc,0.86349416,Nope,
283,cy,cy,0.99998546,Match,
284,cy,jc,0.7955765,Nope,
285,cy,cy,0.9847948,Match,
286,cy,cy,0.9999887,Match,
287,cy,jc,0.29070505,Nope,
288,gerald,alan,0.96214217,Nope,
289,gerald,alan,0.9883016,Nope,
290,gerald,alan,0.9966822,Nope,
291,gerald,alan,0.9771738,Nope,
292,gerald,jc,0.91617006,Nope,
293,gerald,alan,0.98760855,Nope,
294,gerald,gerald,0.99947864,Match,
295,gerald,gerald,0.9976829,Match,
296,gerald,gerald,0.72923183,Match,
297,gerald,gerald,0.99945015,Match,
298,gerald,gerald,0.99752074,Match,
299,gerald,gerald,0.99942625,Match,
300,gerald,jc,0.81930447,Nope,
301,gerald,jc,0.8333698,Nope,
302,gerald,jc,0.5523071,Nope,
303,gerald,jc,0.9309184,Nope,
304,gerald,jc,0.9962089,Nope,
305,gerald,jc,0.85781044,Nope,
306,gerald,alan,0.99706656,Nope,
307,gerald,alan,0.77059644,Nope,
308,gerald,alan,0.9825272,Nope,
309,gerald,alan,0.99701995,Nope,
310,gerald,jc,0.8321296,Nope,
311,gerald,alan,0.9876987,Nope,
312,gerald,alan,0.9999647,Nope,
313,gerald,alan,0.999962,Nope,
314,gerald,alan,0.99996495,Nope,
315,gerald,alan,0.99996376,Nope,
316,gerald,alan,0.9971027,Nope,
317,gerald,alan,0.999964,Nope,
318,gerald,alan,0.9995509,Nope,
319,gerald,alan,0.8724106,Nope,
320,gerald,alan,0.99978656,Nope,
321,gerald,alan,0.999841,Nope,
322,gerald,alan,0.46301696,Nope,
323,gerald,alan,0.9972046,Nope,
324,gerald,jc,0.4994287,Nope,
325,gerald,gerald,0.94340765,Match,
326,gerald,jc,0.5047812,Nope,
327,gerald,jc,0.692524,Nope,
328,gerald,jc,0.76298237,Nope,
329,gerald,jc,0.5132914,Nope,
330,gerald,jc,0.86020875,Nope,
331,gerald,jc,0.9177672,Nope,
332,gerald,jc,0.86973506,Nope,
333,gerald,jc,0.9308601,Nope,
334,gerald,jc,0.80423856,Nope,
335,gerald,jc,0.84382945,Nope,
336,jc,jc,0.8237729,Match,
337,jc,jc,0.81746274,Match,
338,jc,jc,0.45918694,Match,
339,jc,alan,0.7805457,Nope,
340,jc,jc,0.81681734,Match,
341,jc,jc,0.74947417,Match,
342,jc,gerald,0.7118098,Nope,
343,jc,gerald,0.8206206,Nope,
344,jc,jc,0.82659316,Match,
345,jc,gerald,0.89125323,Nope,
346,jc,jc,0.82466,Match,
347,jc,jc,0.49950922,Match,
348,jc,bryce,0.91682845,Nope,
349,jc,bryce,0.7821443,Nope,
350,jc,jc,0.917612,Match,
351,jc,jc,0.9829647,Match,
352,jc,bryce,0.983575,Nope,
353,jc,bryce,0.9943731,Nope,
354,jc,jc,0.9378321,Match,
355,jc,jc,0.98613524,Match,
356,jc,jc,0.9990564,Match,
357,jc,jc,0.9940165,Match,
358,jc,jc,0.9909202,Match,
359,jc,jc,0.9884759,Match,
360,jc,cy,0.69003123,Nope,
361,jc,cy,0.92655903,Nope,
362,jc,cy,0.9052382,Nope,
363,jc,cy,0.8729521,Nope,
364,jc,cy,0.99987805,Nope,
365,jc,cy,0.99867994,Nope,
366,jc,gerald,0.9925984,Nope,
367,jc,gerald,0.95426166,Nope,
368,jc,gerald,0.99005044,Nope,
369,jc,gerald,0.9937873,Nope,
370,jc,gerald,0.631783,Nope,
371,jc,gerald,0.95052624,Nope,
372,jc,cy,0.9997365,Nope,
373,jc,cy,0.8183524,Nope,
374,jc,cy,0.9970241,Nope,
375,jc,cy,0.99967885,Nope,
376,jc,cy,0.9999255,Nope,
377,jc,cy,0.9808692,Nope,
378,jc,jonah,0.8276215,Nope,
379,jc,jc,0.99117965,Match,
380,jc,jonah,0.68001807,Nope,
381,jc,jonah,0.88691896,Nope,
382,jc,jonah,0.8705306,Nope,
383,jc,jc,0.9509801,Match,
384,jonah,jonah,0.96802294,Match,
385,jonah,jonah,0.920292,Match,
386,jonah,qk,0.81937397,Nope,
387,jonah,jonah,0.9522074,Match,
388,jonah,jonah,0.9408541,Match,
389,jonah,jonah,0.54376453,Match,
390,jonah,jonah,0.99865156,Match,
391,jonah,jonah,0.9994301,Match,
392,jonah,jonah,0.9967817,Match,
393,jonah,jonah,0.88079983,Match,
394,jonah,jonah,0.996376,Match,
395,jonah,jonah,0.99956745,Match,
396,jonah,jonah,0.99903226,Match,
397,jonah,jonah,0.9997354,Match,
398,jonah,jonah,0.99879456,Match,
399,jonah,jonah,0.9995964,Match,
400,jonah,jonah,0.9998865,Match,
401,jonah,jonah,0.9995946,Match,
402,jonah,chris,0.8856652,Nope,
403,jonah,chris,0.6531406,Nope,
404,jonah,chris,0.92034787,Nope,
405,jonah,adhy,0.81037164,Nope,
406,jonah,chris,0.6975121,Nope,
407,jonah,chris,0.69768435,Nope,
408,jonah,cy,0.69388425,Nope,
409,jonah,cy,0.98514867,Nope,
410,jonah,cy,0.9485425,Nope,
411,jonah,cy,0.7219059,Nope,
412,jonah,cy,0.7824686,Nope,
413,jonah,cy,0.88140786,Nope,
414,jonah,cy,0.5110259,Nope,
415,jonah,cy,0.795214,Nope,
416,jonah,jonah,0.69451344,Match,
417,jonah,cy,0.49375156,Nope,
418,jonah,cy,0.48955923,Nope,
419,jonah,jonah,0.9809387,Match,
420,jonah,bryce,0.5289366,Nope,
421,jonah,bryce,0.6940257,Nope,
422,jonah,jonah,0.89212227,Match,
423,jonah,jonah,0.6906785,Match,
424,jonah,bryce,0.9927724,Nope,
425,jonah,jonah,0.4460373,Match,
426,jonah,jonah,0.89074385,Match,
427,jonah,jonah,0.7938059,Match,
428,jonah,jc,0.8575415,Nope,
429,jonah,jonah,0.7581215,Match,
430,jonah,jc,0.6244852,Nope,
431,jonah,jonah,0.7300868,Match,
432,qk,qk,0.99953175,Match,
433,qk,alan,0.6903155,Nope,
434,qk,qk,0.9999043,Match,
435,qk,qk,0.9998418,Match,
436,qk,qk,0.99996877,Match,
437,qk,qk,0.99976474,Match,
438,qk,bryce,0.9502762,Nope,
439,qk,bryce,0.4811068,Nope,
440,qk,bryce,0.96371335,Nope,
441,qk,chris,0.9244067,Nope,
442,qk,bryce,0.72843206,Nope,
443,qk,chris,0.9407699,Nope,
444,qk,qk,0.8032614,Match,
445,qk,qk,0.9727728,Match,
446,qk,chris,0.9271688,Nope,
447,qk,qk,0.79993045,Match,
448,qk,chris,0.9847621,Nope,
449,qk,qk,0.9360734,Match,
450,qk,jonah,0.9640025,Nope,
451,qk,jonah,0.9836496,Nope,
452,qk,jonah,0.999671,Nope,
453,qk,jonah,0.9994137,Nope,
454,qk,jonah,0.99220335,Nope,
455,qk,jonah,0.99965537,Nope,
456,qk,chris,0.9901231,Nope,
457,qk,qk,0.55612963,Match,
458,qk,chris,0.9906566,Nope,
459,qk,chris,0.9855289,Nope,
460,qk,qk,0.495614,Match,
461,qk,chris,0.9498486,Nope,
462,qk,qk,0.9998455,Match,
463,qk,qk,0.9997732,Match,
464,qk,qk,0.99950194,Match,
465,qk,qk,0.9998597,Match,
466,qk,qk,0.9998411,Match,
467,qk,qk,0.9999268,Match,
468,qk,qk,0.5887295,Match,
469,qk,gerald,0.4373391,Nope,
470,qk,qk,0.44089437,Match,
471,qk,jonah,0.29740942,Nope,
472,qk,qk,0.828344,Match,
473,qk,qk,0.63858485,Match,
474,qk,qk,0.9864508,Match,
475,qk,qk,0.96072435,Match,
476,qk,qk,0.9964386,Match,
477,qk,qk,0.9918834,Match,
478,qk,qk,0.9994916,Match,
479,qk,qk,0.9978168,Match,
