,Results,Prediction,Accuracy,adhy alan cy 140/144,,Results,Prediction,Accuracy,"adhy, alan, cy 108/140",,Results,Prediction,Accuracy,"chris, cy, gerald, 131/140",,Results,Prediction,Accuracy,cy jc jonah 123/140,,Results,Prediction,Accuracy,cy jonah qk 108/140,,,,,
13,adhy,adhy,0.99973184,Match,13,adhy,bryce,0.9996482,Nope,13,adhy,cy,0.99616563,Nope,13,adhy,jonah,0.99820673,Nope,13,adhy,qk,0.9997049,Nope,13,Nope,Nope,Nope,Nope
14,adhy,adhy,0.99977344,Match,14,adhy,bryce,0.8871783,Nope,14,adhy,chris,0.6195424,Nope,14,adhy,jonah,0.9996942,Nope,14,adhy,adhy,0.9991509,Match,14,Nope,Nope,Nope,Nope
15,adhy,adhy,0.99975425,Match,15,adhy,bryce,0.9363525,Nope,15,adhy,cy,0.9602725,Nope,15,adhy,jonah,0.99966526,Nope,15,adhy,qk,0.5758555,Nope,15,Nope,Nope,Nope,Nope
16,adhy,adhy,0.9997615,Match,16,adhy,bryce,0.99950445,Nope,16,adhy,cy,0.9280516,Nope,16,adhy,cy,0.9396823,Nope,16,adhy,qk,0.9962261,Nope,16,Nope,Nope,Match,Nope
17,adhy,adhy,0.99977225,Match,17,adhy,andy,0.9027125,Nope,17,adhy,cy,0.99490213,Nope,17,adhy,jonah,0.99965084,Nope,17,adhy,adhy,0.9569006,Match,17,Nope,Nope,Nope,Nope
18,adhy,adhy,0.99976677,Match,18,adhy,bryce,0.7027898,Nope,18,adhy,cy,0.99219984,Nope,18,adhy,jonah,0.9989422,Nope,18,adhy,qk,0.9996761,Nope,18,Nope,Nope,Nope,Nope
19,adhy,adhy,0.9738776,Match,19,adhy,bryce,0.94831663,Nope,19,adhy,cy,0.99993396,Nope,19,adhy,jonah,0.48952124,Nope,19,adhy,qk,0.99969876,Nope,19,Nope,Nope,Nope,Nope
20,adhy,adhy,0.99977106,Match,20,adhy,andy,0.6989356,Nope,20,adhy,cy,0.98717195,Nope,20,adhy,jonah,0.9996594,Nope,20,adhy,qk,0.99857616,Nope,20,Nope,Nope,Nope,Nope
21,adhy,adhy,0.9968682,Match,21,adhy,andy,0.8774859,Nope,21,adhy,cy,0.99831533,Nope,21,adhy,jonah,0.9995715,Nope,21,adhy,qk,0.99961215,Nope,21,Nope,Nope,Nope,Nope
22,adhy,cy,0.6230037,Nope,22,adhy,cy,0.98106706,Nope,22,adhy,cy,0.9999758,Nope,22,adhy,cy,0.77369696,Nope,22,adhy,cy,0.99377924,Nope,22,Match,Match,Match,Match
23,adhy,adhy,0.9997614,Match,23,adhy,andy,0.9982096,Nope,23,adhy,cy,0.99835134,Nope,23,adhy,jonah,0.9992693,Nope,23,adhy,qk,0.9996942,Nope,23,Nope,Nope,Nope,Nope
24,adhy,adhy,0.99977297,Match,24,adhy,bryce,0.9985605,Nope,24,adhy,chris,0.99998724,Nope,24,adhy,jonah,0.9996623,Nope,24,adhy,adhy,0.99985504,Match,24,Nope,Nope,Nope,Nope
25,adhy,adhy,0.99976844,Match,25,adhy,bryce,0.9943663,Nope,25,adhy,chris,0.9999329,Nope,25,adhy,jonah,0.9995066,Nope,25,adhy,qk,0.9996959,Nope,25,Nope,Nope,Nope,Nope
26,adhy,adhy,0.9997726,Match,26,adhy,bryce,0.99840975,Nope,26,adhy,chris,0.99998796,Nope,26,adhy,jonah,0.999671,Nope,26,adhy,adhy,0.99986434,Match,26,Nope,Nope,Nope,Nope
27,adhy,adhy,0.9997688,Match,27,adhy,bryce,0.98541325,Nope,27,adhy,chris,0.99995875,Nope,27,adhy,jonah,0.99951375,Nope,27,adhy,adhy,0.8726904,Match,27,Nope,Nope,Nope,Nope
28,adhy,adhy,0.99975485,Match,28,adhy,bryce,0.9997634,Nope,28,adhy,chris,0.9999614,Nope,28,adhy,jonah,0.98214597,Nope,28,adhy,qk,0.99962413,Nope,28,Nope,Nope,Nope,Nope
29,adhy,adhy,0.99977034,Match,29,adhy,andy,0.99818546,Nope,29,adhy,chris,0.998453,Nope,29,adhy,jonah,0.9996742,Nope,29,adhy,adhy,0.99985313,Match,29,Nope,Nope,Nope,Nope
30,adhy,adhy,0.9997712,Match,30,adhy,bryce,0.9997837,Nope,30,adhy,chris,0.9999883,Nope,30,adhy,jonah,0.99967885,Nope,30,adhy,qk,0.99453604,Nope,30,Nope,Nope,Nope,Nope
31,adhy,adhy,0.99489695,Match,31,adhy,bryce,0.9994543,Nope,31,adhy,cy,0.6629546,Nope,31,adhy,jonah,0.9996136,Nope,31,adhy,qk,0.999713,Nope,31,Nope,Nope,Nope,Nope
32,adhy,adhy,0.999757,Match,32,adhy,bryce,0.9996455,Nope,32,adhy,chris,0.9964187,Nope,32,adhy,jonah,0.9996855,Nope,32,adhy,adhy,0.97239155,Match,32,Nope,Nope,Nope,Nope
33,adhy,adhy,0.99971133,Match,33,adhy,cy,0.6040365,Nope,33,adhy,chris,0.8678287,Nope,33,adhy,jonah,0.99964094,Nope,33,adhy,qk,0.9996884,Nope,33,Nope,Nope,Nope,Nope
34,adhy,adhy,0.9937403,Match,34,adhy,cy,0.5263833,Nope,34,adhy,chris,0.9999465,Nope,34,adhy,jonah,0.9896646,Nope,34,adhy,qk,0.99953794,Nope,34,Nope,Nope,Nope,Nope
35,adhy,adhy,0.9997657,Match,35,adhy,andy,0.9847779,Nope,35,adhy,chris,0.6845073,Nope,35,adhy,jonah,0.9996915,Nope,35,adhy,qk,0.99576277,Nope,35,Nope,Nope,Nope,Nope
36,adhy,adhy,0.999701,Match,36,adhy,bryce,0.9997681,Nope,36,adhy,cy,0.99972445,Nope,36,adhy,jonah,0.87675565,Nope,36,adhy,qk,0.99960214,Nope,36,Nope,Nope,Nope,Nope
37,adhy,alan,0.6724489,Nope,37,adhy,bryce,0.99977094,Nope,37,adhy,gerald,0.9943017,Nope,37,adhy,jc,0.9976928,Nope,37,adhy,qk,0.99968946,Nope,37,Nope,Nope,Nope,Nope
38,adhy,adhy,0.95669305,Match,38,adhy,bryce,0.99976677,Nope,38,adhy,cy,0.9997415,Nope,38,adhy,cy,0.6111223,Nope,38,adhy,qk,0.9989999,Nope,38,Nope,Nope,Match,Nope
39,adhy,cy,0.94977325,Nope,39,adhy,cy,0.97197515,Nope,39,adhy,cy,0.98642,Nope,39,adhy,jc,0.6582866,Nope,39,adhy,qk,0.92628515,Nope,39,Match,Match,Nope,Nope
40,adhy,adhy,0.99976164,Match,40,adhy,bryce,0.99977475,Nope,40,adhy,cy,0.98385346,Nope,40,adhy,jonah,0.99868876,Nope,40,adhy,qk,0.99966264,Nope,40,Nope,Nope,Nope,Nope
41,adhy,adhy,0.7121349,Match,41,adhy,bryce,0.99773335,Nope,41,adhy,cy,0.99633646,Nope,41,adhy,jonah,0.9922916,Nope,41,adhy,qk,0.9996228,Nope,41,Nope,Nope,Nope,Nope
42,adhy,adhy,0.9997718,Match,42,adhy,andy,0.8798564,Nope,42,adhy,chris,0.9963427,Nope,42,adhy,jonah,0.9996867,Nope,42,adhy,adhy,0.94836617,Match,42,Nope,Nope,Nope,Nope
43,adhy,adhy,0.9996418,Match,43,adhy,bryce,0.6127034,Nope,43,adhy,cy,0.9608881,Nope,43,adhy,jonah,0.9996836,Nope,43,adhy,qk,0.99971336,Nope,43,Nope,Nope,Nope,Nope
44,adhy,adhy,0.9997707,Match,44,adhy,andy,0.8922183,Nope,44,adhy,chris,0.5943124,Nope,44,adhy,jonah,0.9996923,Nope,44,adhy,adhy,0.9998586,Match,44,Nope,Nope,Nope,Nope
45,adhy,adhy,0.99976367,Match,45,adhy,bryce,0.62966794,Nope,45,adhy,cy,0.96165943,Nope,45,adhy,jonah,0.99967813,Nope,45,adhy,qk,0.9981111,Nope,45,Nope,Nope,Nope,Nope
46,adhy,adhy,0.99977297,Match,46,adhy,andy,0.998621,Nope,46,adhy,chris,0.98516697,Nope,46,adhy,jonah,0.999703,Nope,46,adhy,adhy,0.99986374,Match,46,Nope,Nope,Nope,Nope
47,adhy,adhy,0.99975723,Match,47,adhy,andy,0.9969657,Nope,47,adhy,chris,0.60731727,Nope,47,adhy,jonah,0.9996971,Nope,47,adhy,qk,0.9997019,Nope,47,Nope,Nope,Nope,Nope
48,alan,alan,0.99990904,Match,48,alan,bryce,0.9997824,Nope,48,alan,gerald,0.99997723,Nope,48,alan,jc,0.9999789,Nope,48,alan,qk,0.9997143,Nope,48,Nope,Nope,Nope,Nope
49,alan,alan,0.99991,Match,49,alan,bryce,0.62805265,Nope,49,alan,gerald,0.9999764,Nope,49,alan,jc,0.99998105,Nope,49,alan,qk,0.9997142,Nope,49,Nope,Nope,Nope,Nope
50,alan,alan,0.99990964,Match,50,alan,andy,0.7169412,Nope,50,alan,gerald,0.9999732,Nope,50,alan,jc,0.9999809,Nope,50,alan,qk,0.99971145,Nope,50,Nope,Nope,Nope,Nope
51,alan,alan,0.9999099,Match,51,alan,bryce,0.9605049,Nope,51,alan,gerald,0.9999763,Nope,51,alan,jc,0.9999813,Nope,51,alan,qk,0.99971515,Nope,51,Nope,Nope,Nope,Nope
52,alan,alan,0.9999087,Match,52,alan,bryce,0.6514959,Nope,52,alan,gerald,0.99997485,Nope,52,alan,jc,0.99998057,Nope,52,alan,qk,0.9997149,Nope,52,Nope,Nope,Nope,Nope
53,alan,alan,0.9999095,Match,53,alan,cy,0.73853546,Nope,53,alan,gerald,0.99997306,Nope,53,alan,jc,0.9999802,Nope,53,alan,qk,0.9996964,Nope,53,Nope,Nope,Nope,Nope
54,alan,alan,0.99990916,Match,54,alan,bryce,0.99978095,Nope,54,alan,gerald,0.9999771,Nope,54,alan,jc,0.99997795,Nope,54,alan,qk,0.99971396,Nope,54,Nope,Nope,Nope,Nope
55,alan,alan,0.99991,Match,55,alan,bryce,0.9983999,Nope,55,alan,gerald,0.99997604,Nope,55,alan,jc,0.99998057,Nope,55,alan,qk,0.99971384,Nope,55,Nope,Nope,Nope,Nope
56,alan,alan,0.9999088,Match,56,alan,cy,0.84461415,Nope,56,alan,gerald,0.9999696,Nope,56,alan,jc,0.99998033,Nope,56,alan,qk,0.99971026,Nope,56,Nope,Nope,Nope,Nope
57,alan,alan,0.9999099,Match,57,alan,bryce,0.99893373,Nope,57,alan,gerald,0.9999764,Nope,57,alan,jc,0.9999807,Nope,57,alan,qk,0.9997148,Nope,57,Nope,Nope,Nope,Nope
58,alan,alan,0.99990726,Match,58,alan,bryce,0.9838001,Nope,58,alan,gerald,0.9999746,Nope,58,alan,jc,0.99997973,Nope,58,alan,qk,0.99971443,Nope,58,Nope,Nope,Nope,Nope
59,alan,alan,0.99990857,Match,59,alan,cy,0.98873526,Nope,59,alan,gerald,0.99996936,Nope,59,alan,jc,0.9999796,Nope,59,alan,qk,0.9996506,Nope,59,Nope,Nope,Nope,Nope
60,alan,alan,0.99991,Match,60,alan,bryce,0.9997962,Nope,60,alan,gerald,0.9999769,Nope,60,alan,jc,0.99998176,Nope,60,alan,qk,0.99971324,Nope,60,Nope,Nope,Nope,Nope
61,alan,alan,0.99991,Match,61,alan,bryce,0.99978536,Nope,61,alan,gerald,0.999977,Nope,61,alan,jc,0.9999813,Nope,61,alan,qk,0.9997117,Nope,61,Nope,Nope,Nope,Nope
62,alan,alan,0.9999021,Match,62,alan,bryce,0.9997577,Nope,62,alan,gerald,0.9999763,Nope,62,alan,jc,0.99997973,Nope,62,alan,qk,0.9997118,Nope,62,Nope,Nope,Nope,Nope
63,alan,alan,0.9999101,Match,63,alan,bryce,0.99979466,Nope,63,alan,gerald,0.9999769,Nope,63,alan,jc,0.99998164,Nope,63,alan,qk,0.9997141,Nope,63,Nope,Nope,Nope,Nope
64,alan,alan,0.99990773,Match,64,alan,bryce,0.999783,Nope,64,alan,gerald,0.999977,Nope,64,alan,jc,0.9999691,Nope,64,alan,qk,0.99971217,Nope,64,Nope,Nope,Nope,Nope
65,alan,alan,0.99990857,Match,65,alan,bryce,0.99975187,Nope,65,alan,gerald,0.9999746,Nope,65,alan,jc,0.9999807,Nope,65,alan,qk,0.99971133,Nope,65,Nope,Nope,Nope,Nope
66,alan,alan,0.9999101,Match,66,alan,bryce,0.9894247,Nope,66,alan,gerald,0.99997663,Nope,66,alan,jc,0.99998164,Nope,66,alan,qk,0.99971455,Nope,66,Nope,Nope,Nope,Nope
67,alan,alan,0.99990964,Match,67,alan,bryce,0.9997317,Nope,67,alan,gerald,0.9999764,Nope,67,alan,jc,0.99998105,Nope,67,alan,qk,0.9997141,Nope,67,Nope,Nope,Nope,Nope
68,alan,alan,0.9999095,Match,68,alan,bryce,0.9630713,Nope,68,alan,gerald,0.9999759,Nope,68,alan,jc,0.9999801,Nope,68,alan,qk,0.9997123,Nope,68,Nope,Nope,Nope,Nope
69,alan,alan,0.9999101,Match,69,alan,bryce,0.9994104,Nope,69,alan,gerald,0.99997663,Nope,69,alan,jc,0.9999808,Nope,69,alan,qk,0.99971515,Nope,69,Nope,Nope,Nope,Nope
70,alan,alan,0.9999087,Match,70,alan,bryce,0.9987185,Nope,70,alan,gerald,0.99997556,Nope,70,alan,jc,0.9999778,Nope,70,alan,qk,0.9997143,Nope,70,Nope,Nope,Nope,Nope
71,alan,alan,0.99990916,Match,71,alan,bryce,0.86890656,Nope,71,alan,gerald,0.99997485,Nope,71,alan,jc,0.999979,Nope,71,alan,qk,0.999708,Nope,71,Nope,Nope,Nope,Nope
72,alan,alan,0.9999095,Match,72,alan,andy,0.7041154,Nope,72,alan,gerald,0.999974,Nope,72,alan,jc,0.99998057,Nope,72,alan,qk,0.99971265,Nope,72,Nope,Nope,Nope,Nope
73,alan,alan,0.99990916,Match,73,alan,bryce,0.9980292,Nope,73,alan,gerald,0.99996865,Nope,73,alan,jc,0.99998,Nope,73,alan,qk,0.9997098,Nope,73,Nope,Nope,Nope,Nope
74,alan,alan,0.99990916,Match,74,alan,bryce,0.99977905,Nope,74,alan,gerald,0.999977,Nope,74,alan,jc,0.9999783,Nope,74,alan,qk,0.99971384,Nope,74,Nope,Nope,Nope,Nope
75,alan,alan,0.9999095,Match,75,alan,bryce,0.63239104,Nope,75,alan,gerald,0.9999745,Nope,75,alan,jc,0.99998057,Nope,75,alan,qk,0.99971384,Nope,75,Nope,Nope,Nope,Nope
76,alan,alan,0.9999087,Match,76,alan,andy,0.6002718,Nope,76,alan,gerald,0.9999751,Nope,76,alan,jc,0.9999795,Nope,76,alan,qk,0.9997116,Nope,76,Nope,Nope,Nope,Nope
77,alan,alan,0.99990976,Match,77,alan,cy,0.9961618,Nope,77,alan,gerald,0.9999676,Nope,77,alan,jc,0.99998033,Nope,77,alan,qk,0.99966776,Nope,77,Nope,Nope,Nope,Nope
78,alan,alan,0.9999101,Match,78,alan,bryce,0.6360433,Nope,78,alan,gerald,0.99997675,Nope,78,alan,jc,0.9999809,Nope,78,alan,qk,0.9997142,Nope,78,Nope,Nope,Nope,Nope
79,alan,alan,0.99990964,Match,79,alan,bryce,0.9993931,Nope,79,alan,gerald,0.9999769,Nope,79,alan,jc,0.9999794,Nope,79,alan,qk,0.999713,Nope,79,Nope,Nope,Nope,Nope
80,alan,alan,0.99990976,Match,80,alan,bryce,0.99979347,Nope,80,alan,gerald,0.99997723,Nope,80,alan,jc,0.99997866,Nope,80,alan,qk,0.9997141,Nope,80,Nope,Nope,Nope,Nope
81,alan,alan,0.99991024,Match,81,alan,bryce,0.9967244,Nope,81,alan,gerald,0.9999769,Nope,81,alan,jc,0.9999802,Nope,81,alan,qk,0.99971396,Nope,81,Nope,Nope,Nope,Nope
82,alan,alan,0.99990916,Match,82,alan,bryce,0.9950655,Nope,82,alan,gerald,0.999977,Nope,82,alan,jc,0.9999703,Nope,82,alan,qk,0.99971455,Nope,82,Nope,Nope,Nope,Nope
83,alan,alan,0.99990916,Match,83,alan,bryce,0.9878956,Nope,83,alan,gerald,0.99997735,Nope,83,alan,jc,0.9999746,Nope,83,alan,qk,0.9997079,Nope,83,Nope,Nope,Nope,Nope
84,alan,alan,0.9999095,Match,84,alan,andy,0.65940946,Nope,84,alan,gerald,0.9999738,Nope,84,alan,jc,0.9999733,Nope,84,alan,qk,0.9997117,Nope,84,Nope,Nope,Nope,Nope
85,alan,alan,0.9999089,Match,85,alan,bryce,0.9959794,Nope,85,alan,gerald,0.99997115,Nope,85,alan,jc,0.9999733,Nope,85,alan,qk,0.99970824,Nope,85,Nope,Nope,Nope,Nope
86,alan,alan,0.99990463,Match,86,alan,bryce,0.99978405,Nope,86,alan,gerald,0.99997675,Nope,86,alan,jc,0.99991524,Nope,86,alan,qk,0.99971277,Nope,86,Nope,Nope,Nope,Nope
87,alan,alan,0.9999095,Match,87,alan,bryce,0.9838171,Nope,87,alan,gerald,0.99997413,Nope,87,alan,jc,0.9999279,Nope,87,alan,qk,0.9997123,Nope,87,Nope,Nope,Nope,Nope
88,alan,alan,0.9998332,Match,88,alan,andy,0.65915334,Nope,88,alan,gerald,0.9999666,Nope,88,alan,jc,0.9999753,Nope,88,alan,qk,0.99971014,Nope,88,Nope,Nope,Nope,Nope
89,alan,alan,0.99990976,Match,89,alan,bryce,0.9944582,Nope,89,alan,gerald,0.99997485,Nope,89,alan,jc,0.99996614,Nope,89,alan,qk,0.99971384,Nope,89,Nope,Nope,Nope,Nope
90,alan,alan,0.9999087,Match,90,alan,andy,0.89781183,Nope,90,alan,gerald,0.99996924,Nope,90,alan,jc,0.9999778,Nope,90,alan,qk,0.9996965,Nope,90,Nope,Nope,Nope,Nope
91,alan,alan,0.99990785,Match,91,alan,bryce,0.7999209,Nope,91,alan,gerald,0.9999536,Nope,91,alan,jc,0.9999757,Nope,91,alan,qk,0.9990232,Nope,91,Nope,Nope,Nope,Nope
92,alan,alan,0.9999082,Match,92,alan,bryce,0.9997682,Nope,92,alan,gerald,0.99997354,Nope,92,alan,jc,0.9999765,Nope,92,alan,qk,0.9997092,Nope,92,Nope,Nope,Nope,Nope
93,alan,alan,0.99990857,Match,93,alan,bryce,0.56583095,Nope,93,alan,gerald,0.99997056,Nope,93,alan,jc,0.9999769,Nope,93,alan,qk,0.999706,Nope,93,Nope,Nope,Nope,Nope
94,alan,alan,0.9999093,Match,94,alan,cy,0.9838166,Nope,94,alan,gerald,0.999908,Nope,94,alan,jc,0.9999789,Nope,94,alan,qk,0.9996921,Nope,94,Nope,Nope,Nope,Nope
95,alan,alan,0.9999087,Match,95,alan,bryce,0.6886325,Nope,95,alan,gerald,0.9999757,Nope,95,alan,jc,0.99997807,Nope,95,alan,qk,0.99971026,Nope,95,Nope,Nope,Nope,Nope
96,andy,adhy,0.9997663,Nope,96,andy,andy,0.9998977,Match,96,andy,chris,0.9999881,Nope,96,andy,jonah,0.9996939,Nope,96,andy,adhy,0.9998702,Nope,96,Nope,Nope,Nope,Nope
97,andy,adhy,0.9997719,Nope,97,andy,andy,0.9998982,Match,97,andy,chris,0.9999901,Nope,97,andy,jonah,0.99471223,Nope,97,andy,adhy,0.99986625,Nope,97,Nope,Nope,Nope,Nope
98,andy,adhy,0.99977416,Nope,98,andy,andy,0.9998988,Match,98,andy,chris,0.99712116,Nope,98,andy,jonah,0.99963367,Nope,98,andy,adhy,0.9998727,Nope,98,Nope,Nope,Nope,Nope
99,andy,adhy,0.9997738,Nope,99,andy,andy,0.99989843,Match,99,andy,chris,0.9938018,Nope,99,andy,jonah,0.9728809,Nope,99,andy,adhy,0.99987066,Nope,99,Nope,Nope,Nope,Nope
100,andy,adhy,0.9997738,Nope,100,andy,andy,0.99989855,Match,100,andy,chris,0.9999869,Nope,100,andy,jonah,0.999665,Nope,100,andy,adhy,0.99987054,Nope,100,Nope,Nope,Nope,Nope
101,andy,adhy,0.9997665,Nope,101,andy,andy,0.9998981,Match,101,andy,chris,0.9999877,Nope,101,andy,jonah,0.9975321,Nope,101,andy,adhy,0.99986744,Nope,101,Nope,Nope,Nope,Nope
102,andy,adhy,0.9997651,Nope,102,andy,andy,0.999897,Match,102,andy,chris,0.9973937,Nope,102,andy,jonah,0.99961483,Nope,102,andy,adhy,0.99758697,Nope,102,Nope,Nope,Nope,Nope
103,andy,adhy,0.9997681,Nope,103,andy,andy,0.9998975,Match,103,andy,chris,0.9930305,Nope,103,andy,cy,0.9969434,Nope,103,andy,adhy,0.99861634,Nope,103,Nope,Nope,Nope,Nope
104,andy,adhy,0.9997676,Nope,104,andy,andy,0.99989843,Match,104,andy,chris,0.7251182,Nope,104,andy,jonah,0.8449329,Nope,104,andy,adhy,0.99986625,Nope,104,Nope,Nope,Nope,Nope
105,andy,adhy,0.99976546,Nope,105,andy,andy,0.9998981,Match,105,andy,cy,0.7357502,Nope,105,andy,cy,0.9980161,Nope,105,andy,adhy,0.9998528,Nope,105,Nope,Nope,Match,Nope
106,andy,adhy,0.99976677,Nope,106,andy,andy,0.9998983,Match,106,andy,chris,0.984812,Nope,106,andy,cy,0.5619261,Nope,106,andy,adhy,0.9998661,Nope,106,Nope,Nope,Nope,Nope
107,andy,adhy,0.9997631,Nope,107,andy,andy,0.9998971,Match,107,andy,chris,0.9999728,Nope,107,andy,cy,0.9979995,Nope,107,andy,adhy,0.99984336,Nope,107,Nope,Nope,Nope,Nope
108,andy,adhy,0.9997727,Nope,108,andy,andy,0.99989736,Match,108,andy,chris,0.9999887,Nope,108,andy,jonah,0.99970055,Nope,108,andy,adhy,0.9998752,Nope,108,Nope,Nope,Nope,Nope
109,andy,adhy,0.9997681,Nope,109,andy,andy,0.999895,Match,109,andy,chris,0.9947218,Nope,109,andy,jonah,0.9996263,Nope,109,andy,adhy,0.997825,Nope,109,Nope,Nope,Nope,Nope
110,andy,adhy,0.99977356,Nope,110,andy,andy,0.99989843,Match,110,andy,chris,0.99998987,Nope,110,andy,jonah,0.9996921,Nope,110,andy,adhy,0.9997112,Nope,110,Nope,Nope,Nope,Nope
111,andy,adhy,0.9997725,Nope,111,andy,andy,0.9998983,Match,111,andy,chris,0.9995913,Nope,111,andy,jonah,0.9995565,Nope,111,andy,adhy,0.9950482,Nope,111,Nope,Nope,Nope,Nope
112,andy,adhy,0.9997737,Nope,112,andy,andy,0.9998971,Match,112,andy,chris,0.9999883,Nope,112,andy,jonah,0.9996915,Nope,112,andy,adhy,0.99987423,Nope,112,Nope,Nope,Nope,Nope
113,andy,adhy,0.99976987,Nope,113,andy,andy,0.9998845,Match,113,andy,chris,0.9999871,Nope,113,andy,jonah,0.9993697,Nope,113,andy,adhy,0.9995882,Nope,113,Nope,Nope,Nope,Nope
114,andy,adhy,0.9997719,Nope,114,andy,andy,0.9998983,Match,114,andy,chris,0.9896836,Nope,114,andy,jonah,0.9991536,Nope,114,andy,adhy,0.9998709,Nope,114,Nope,Nope,Nope,Nope
115,andy,adhy,0.999757,Nope,115,andy,andy,0.9998977,Match,115,andy,cy,0.8034631,Nope,115,andy,cy,0.9975448,Nope,115,andy,adhy,0.9997315,Nope,115,Nope,Nope,Match,Nope
116,andy,adhy,0.9997707,Nope,116,andy,andy,0.9998987,Match,116,andy,chris,0.9616388,Nope,116,andy,jonah,0.9854262,Nope,116,andy,adhy,0.99917006,Nope,116,Nope,Nope,Nope,Nope
117,andy,adhy,0.99977106,Nope,117,andy,andy,0.9998983,Match,117,andy,chris,0.5116116,Nope,117,andy,cy,0.9977915,Nope,117,andy,adhy,0.9893497,Nope,117,Nope,Nope,Nope,Nope
118,andy,adhy,0.99977237,Nope,118,andy,andy,0.99989855,Match,118,andy,chris,0.9900405,Nope,118,andy,jonah,0.94031066,Nope,118,andy,adhy,0.99987113,Nope,118,Nope,Nope,Nope,Nope
119,andy,adhy,0.99976724,Nope,119,andy,andy,0.9998976,Match,119,andy,chris,0.9999459,Nope,119,andy,cy,0.9977022,Nope,119,andy,adhy,0.99985003,Nope,119,Nope,Nope,Nope,Nope
120,andy,adhy,0.99977165,Nope,120,andy,andy,0.99989855,Match,120,andy,chris,0.99850523,Nope,120,andy,jonah,0.99968886,Nope,120,andy,adhy,0.9998704,Nope,120,Nope,Nope,Nope,Nope
121,andy,adhy,0.9997687,Nope,121,andy,andy,0.99989843,Match,121,andy,chris,0.85901165,Nope,121,andy,jonah,0.9994947,Nope,121,andy,adhy,0.9998635,Nope,121,Nope,Nope,Nope,Nope
122,andy,adhy,0.99977094,Nope,122,andy,andy,0.9998981,Match,122,andy,chris,0.9999887,Nope,122,andy,jonah,0.999696,Nope,122,andy,adhy,0.9873586,Nope,122,Nope,Nope,Nope,Nope
