,Results,Prediction,Accuracy,cy jc jonah 123/140
98,andy,jonah,0.99963367,Nope
99,andy,jonah,0.9728809,Nope
100,andy,jonah,0.999665,Nope
101,andy,jonah,0.9975321,Nope
102,andy,jonah,0.99961483,Nope
103,andy,cy,0.9969434,Nope
104,andy,jonah,0.8449329,Nope
105,andy,cy,0.9980161,Nope
106,andy,cy,0.5619261,Nope
107,andy,cy,0.9979995,Nope
108,andy,jonah,0.99970055,Nope
109,andy,jonah,0.9996263,Nope
110,andy,jonah,0.9996921,Nope
111,andy,jonah,0.9995565,Nope
112,andy,jonah,0.9996915,Nope
113,andy,jonah,0.9993697,Nope
114,andy,jonah,0.9991536,Nope
115,andy,cy,0.9975448,Nope
116,andy,jonah,0.9854262,Nope
117,andy,cy,0.9977915,Nope
118,andy,jonah,0.94031066,Nope
119,andy,cy,0.9977022,Nope
120,andy,jonah,0.99968886,Nope
121,andy,jonah,0.9994947,Nope
122,andy,jonah,0.999696,Nope
123,andy,jonah,0.9991253,Nope
124,andy,jonah,0.9996681,Nope
125,andy,jonah,0.9991116,Nope
126,andy,jonah,0.99916565,Nope
127,andy,cy,0.9871237,Nope
128,andy,jonah,0.99968326,Nope
129,andy,cy,0.9929422,Nope
130,andy,jonah,0.9948906,Nope
131,andy,cy,0.99202806,Nope
132,andy,jonah,0.9996698,Nope
133,andy,jonah,0.99947673,Nope
134,andy,jonah,0.99969435,Nope
135,andy,jonah,0.99440694,Nope
136,andy,jonah,0.99958843,Nope
137,andy,jonah,0.97835994,Nope
138,andy,jonah,0.99913603,Nope
139,andy,cy,0.9899886,Nope
140,andy,jonah,0.9996563,Nope
141,andy,cy,0.9957878,Nope
142,andy,jonah,0.94067115,Nope
143,andy,cy,0.99644214,Nope
144,bryce,cy,0.9986689,Nope
145,bryce,cy,0.93204623,Nope
146,bryce,cy,0.7420361,Nope
147,bryce,cy,0.9720695,Nope
148,bryce,cy,0.9984561,Nope
149,bryce,cy,0.9802366,Nope
150,bryce,cy,0.99456006,Nope
151,bryce,jonah,0.9929531,Nope
152,bryce,jonah,0.9996735,Nope
153,bryce,jonah,0.99842155,Nope
154,bryce,cy,0.99643624,Nope
155,bryce,cy,0.99153554,Nope
156,bryce,cy,0.9997999,Nope
157,bryce,cy,0.99973756,Nope
158,bryce,cy,0.9991598,Nope
159,bryce,cy,0.99902,Nope
160,bryce,cy,0.9998802,Nope
161,bryce,cy,0.9998665,Nope
162,bryce,jc,0.67418194,Nope
163,bryce,jonah,0.99956375,Nope
164,bryce,jonah,0.9102872,Nope
165,bryce,jonah,0.99965405,Nope
166,bryce,jonah,0.6994652,Nope
167,bryce,jc,0.9426692,Nope
168,bryce,cy,0.9683957,Nope
169,bryce,jonah,0.98435414,Nope
170,bryce,cy,0.99156123,Nope
171,bryce,jonah,0.759968,Nope
172,bryce,cy,0.9740063,Nope
173,bryce,cy,0.67066157,Nope
174,bryce,jonah,0.9994649,Nope
175,bryce,jonah,0.99876654,Nope
176,bryce,cy,0.8551804,Nope
177,bryce,jonah,0.9672765,Nope
178,bryce,cy,0.98286545,Nope
179,bryce,cy,0.7618165,Nope
180,bryce,cy,0.9997799,Nope
181,bryce,cy,0.9998054,Nope
182,bryce,cy,0.99986804,Nope
183,bryce,cy,0.9992742,Nope
184,bryce,cy,0.9920638,Nope
185,bryce,cy,0.9988998,Nope
186,bryce,cy,0.9995442,Nope
187,bryce,cy,0.99930763,Nope
188,bryce,cy,0.9997551,Nope
189,bryce,cy,0.9918562,Nope
190,bryce,cy,0.98866314,Nope
191,bryce,cy,0.99718213,Nope
192,chris,jonah,0.99966383,Nope
193,chris,jonah,0.9996823,Nope
194,chris,jonah,0.9996668,Nope
195,chris,jonah,0.9996698,Nope
196,chris,jonah,0.99963844,Nope
197,chris,jonah,0.9996711,Nope
198,chris,jonah,0.98967534,Nope
199,chris,jonah,0.9988926,Nope
200,chris,jonah,0.9991248,Nope
201,chris,jonah,0.9481475,Nope
202,chris,jonah,0.92909396,Nope
203,chris,jonah,0.99062145,Nope
204,chris,jonah,0.9995447,Nope
205,chris,jonah,0.8523528,Nope
206,chris,jonah,0.9976349,Nope
207,chris,jonah,0.8609313,Nope
208,chris,jonah,0.9160018,Nope
209,chris,jonah,0.8379751,Nope
210,chris,jonah,0.99968755,Nope
211,chris,jonah,0.9701666,Nope
212,chris,jonah,0.9995414,Nope
213,chris,jonah,0.77491295,Nope
214,chris,jonah,0.9986714,Nope
215,chris,jonah,0.7953821,Nope
216,chris,jonah,0.9996557,Nope
217,chris,jonah,0.9989556,Nope
218,chris,jonah,0.99880743,Nope
219,chris,jonah,0.9996246,Nope
220,chris,jonah,0.8331337,Nope
221,chris,jonah,0.99918145,Nope
222,chris,jonah,0.99968874,Nope
223,chris,jonah,0.9994868,Nope
224,chris,jonah,0.99959534,Nope
225,chris,jonah,0.9996635,Nope
226,chris,jonah,0.999137,Nope
227,chris,jonah,0.99956137,Nope
228,chris,jonah,0.9995652,Nope
229,chris,jonah,0.98625004,Nope
230,chris,jonah,0.9408641,Nope
231,chris,jonah,0.99961674,Nope
232,chris,jonah,0.92482585,Nope
233,chris,jonah,0.99860114,Nope
234,chris,jonah,0.9996841,Nope
235,chris,jonah,0.91121167,Nope
236,chris,jonah,0.9496545,Nope
237,chris,jonah,0.9913824,Nope
238,chris,jonah,0.99940157,Nope
239,chris,jonah,0.8262658,Nope
240,cy,cy,0.9998603,Match
241,cy,cy,0.999879,Match
242,cy,cy,0.9997993,Match
243,cy,cy,0.9998109,Match
244,cy,cy,0.9998223,Match
245,cy,cy,0.99988055,Match
246,cy,cy,0.9978999,Match
247,cy,cy,0.9997756,Match
248,cy,cy,0.99748117,Match
249,cy,cy,0.9976205,Match
250,cy,cy,0.9969394,Match
251,cy,cy,0.999527,Match
252,cy,cy,0.9996288,Match
253,cy,cy,0.99964666,Match
254,cy,cy,0.9974936,Match
255,cy,cy,0.99783474,Match
256,cy,cy,0.9968375,Match
257,cy,cy,0.9997981,Match
258,cy,cy,0.9998722,Match
259,cy,cy,0.9998609,Match
260,cy,cy,0.9998388,Match
261,cy,cy,0.99983287,Match
262,cy,cy,0.99980325,Match
263,cy,cy,0.99986506,Match
264,cy,cy,0.99946517,Match
265,cy,cy,0.98660755,Match
266,cy,cy,0.99508876,Match
267,cy,cy,0.9998561,Match
268,cy,cy,0.96699196,Match
269,cy,cy,0.9952651,Match
270,cy,cy,0.99983287,Match
271,cy,cy,0.9992157,Match
272,cy,cy,0.9986878,Match
273,cy,cy,0.9998516,Match
274,cy,cy,0.99492896,Match
275,cy,cy,0.9988951,Match
276,cy,cy,0.99908674,Match
277,cy,cy,0.99837995,Match
278,cy,cy,0.9964277,Match
279,cy,cy,0.9998605,Match
280,cy,cy,0.9953622,Match
281,cy,cy,0.9939598,Match
282,cy,cy,0.99986744,Match
283,cy,cy,0.9998635,Match
284,cy,cy,0.99983966,Match
285,cy,cy,0.9998784,Match
286,cy,cy,0.9997998,Match
287,cy,cy,0.9997646,Match
288,gerald,jc,0.9999794,Nope
289,gerald,jc,0.99998057,Nope
290,gerald,jc,0.99997973,Nope
291,gerald,jc,0.9999807,Nope
292,gerald,jc,0.9999802,Nope
293,gerald,jc,0.99997914,Nope
294,gerald,jc,0.99997914,Nope
295,gerald,jc,0.99996674,Nope
296,gerald,jc,0.99997926,Nope
297,gerald,jc,0.99997616,Nope
298,gerald,jc,0.99996066,Nope
299,gerald,jc,0.9999795,Nope
300,gerald,jc,0.99997807,Nope
301,gerald,jc,0.9999784,Nope
302,gerald,jc,0.99997914,Nope
303,gerald,jc,0.99998057,Nope
304,gerald,jc,0.999979,Nope
305,gerald,jc,0.9999795,Nope
306,gerald,jc,0.9999801,Nope
307,gerald,jc,0.99997437,Nope
308,gerald,jc,0.99997973,Nope
309,gerald,jc,0.99997747,Nope
310,gerald,jc,0.99997294,Nope
311,gerald,jc,0.99997866,Nope
312,gerald,jc,0.9999807,Nope
313,gerald,jc,0.99998176,Nope
314,gerald,jc,0.9999808,Nope
315,gerald,jc,0.99998176,Nope
316,gerald,jc,0.99998176,Nope
317,gerald,jc,0.99998105,Nope
318,gerald,jc,0.9999807,Nope
319,gerald,jc,0.99998,Nope
320,gerald,jc,0.9999808,Nope
321,gerald,jc,0.99997985,Nope
322,gerald,jc,0.99998,Nope
323,gerald,jc,0.9999809,Nope
324,gerald,jc,0.99997926,Nope
325,gerald,jc,0.99997354,Nope
326,gerald,jc,0.9999794,Nope
327,gerald,jc,0.99997556,Nope
328,gerald,jc,0.9999794,Nope
329,gerald,jc,0.9999778,Nope
330,gerald,jc,0.99998033,Nope
331,gerald,jc,0.99998033,Nope
332,gerald,jc,0.99998033,Nope
333,gerald,jc,0.9999807,Nope
334,gerald,jc,0.99998045,Nope
335,gerald,jc,0.9999809,Nope
336,jc,jc,0.96731925,Match
337,jc,jc,0.99996924,Match
338,jc,jc,0.9200728,Match
339,jc,jc,0.98650604,Match
340,jc,jc,0.99995947,Match
341,jc,jc,0.9997774,Match
342,jc,jc,0.8982841,Match
343,jc,jc,0.9999726,Match
344,jc,jc,0.7534571,Match
345,jc,jc,0.95655036,Match
346,jc,jc,0.99996996,Match
347,jc,jc,0.9999453,Match
348,jc,jc,0.9593855,Match
349,jc,jonah,0.97308886,Nope
350,jc,jc,0.83288425,Match
351,jc,jc,0.98409766,Match
352,jc,jc,0.99995077,Match
353,jc,jc,0.99551696,Match
354,jc,jc,0.9999752,Match
355,jc,jc,0.99997795,Match
356,jc,jc,0.9999715,Match
357,jc,jc,0.99998033,Match
358,jc,jc,0.99998057,Match
359,jc,jc,0.99997985,Match
360,jc,jonah,0.96500844,Nope
361,jc,jonah,0.99960285,Nope
362,jc,jonah,0.99321246,Nope
363,jc,jc,0.9898671,Match
364,jc,jc,0.99772054,Match
365,jc,jc,0.58759415,Match
366,jc,jc,0.9999697,Match
367,jc,jc,0.9993426,Match
368,jc,jc,0.9999546,Match
369,jc,jc,0.99998057,Match
370,jc,jc,0.99997795,Match
371,jc,jc,0.99997914,Match
372,jc,jc,0.99996567,Match
373,jc,jc,0.9999553,Match
374,jc,jc,0.9999323,Match
375,jc,jc,0.99997973,Match
376,jc,jc,0.99992657,Match
377,jc,jc,0.99997735,Match
378,jc,jc,0.999967,Match
379,jc,jc,0.99996173,Match
380,jc,jc,0.9999678,Match
381,jc,jc,0.9999796,Match
382,jc,jc,0.9999323,Match
383,jc,jc,0.99997914,Match
384,jonah,jc,0.75957114,Nope
385,jonah,jonah,0.6251623,Match
386,jonah,jc,0.904605,Nope
387,jonah,jonah,0.9991549,Match
388,jonah,jc,0.64420885,Nope
389,jonah,jonah,0.99958557,Match
390,jonah,jc,0.98871684,Nope
391,jonah,jc,0.5304599,Nope
392,jonah,jc,0.98489136,Nope
393,jonah,jonah,0.9993418,Match
394,jonah,jc,0.96793336,Nope
395,jonah,jonah,0.9992353,Match
396,jonah,jc,0.99906224,Nope
397,jonah,jc,0.9988507,Nope
398,jonah,jc,0.98359436,Nope
399,jonah,jonah,0.9712399,Match
400,jonah,jc,0.9986374,Nope
401,jonah,jonah,0.79636484,Match
402,jonah,jonah,0.98269904,Match
403,jonah,jonah,0.997712,Match
404,jonah,cy,0.8792028,Nope
405,jonah,jonah,0.97828764,Match
406,jonah,jonah,0.8932228,Match
407,jonah,jonah,0.99965775,Match
408,jonah,jonah,0.9524538,Match
409,jonah,jonah,0.999313,Match
410,jonah,jonah,0.9795116,Match
411,jonah,cy,0.8310056,Nope
412,jonah,jonah,0.98497623,Match
413,jonah,jonah,0.9996846,Match
414,jonah,jonah,0.9990269,Match
415,jonah,jonah,0.9996141,Match
416,jonah,jonah,0.99926716,Match
417,jonah,jonah,0.99924695,Match
418,jonah,jonah,0.9990941,Match
419,jonah,jonah,0.9996996,Match
420,jonah,jc,0.88787663,Nope
421,jonah,jonah,0.5756487,Match
422,jonah,jc,0.910502,Nope
423,jonah,jc,0.5102235,Nope
424,jonah,jc,0.7499153,Nope
425,jonah,jonah,0.89590263,Match
426,jonah,jonah,0.9947633,Match
427,jonah,jonah,0.9985146,Match
428,jonah,jonah,0.9776393,Match
429,jonah,jonah,0.99773896,Match
430,jonah,jonah,0.82786965,Match
431,jonah,jonah,0.99966943,Match
432,qk,jonah,0.9813942,Nope
433,qk,jc,0.92379904,Nope
434,qk,jc,0.8142248,Nope
435,qk,jc,0.9936445,Nope
436,qk,jc,0.97306764,Nope
437,qk,jc,0.98359746,Nope
438,qk,jonah,0.99967444,Nope
439,qk,jonah,0.999445,Nope
440,qk,jonah,0.9996556,Nope
441,qk,jonah,0.99958104,Nope
442,qk,jonah,0.99966264,Nope
443,qk,jonah,0.99937904,Nope
444,qk,jonah,0.99946755,Nope
445,qk,jonah,0.9996828,Nope
446,qk,jonah,0.9996928,Nope
447,qk,jonah,0.99968386,Nope
448,qk,jonah,0.99969566,Nope
449,qk,jonah,0.9996797,Nope
450,qk,jonah,0.98314255,Nope
451,qk,jonah,0.9993568,Nope
452,qk,jonah,0.99967825,Nope
453,qk,jonah,0.9996722,Nope
454,qk,jonah,0.9996848,Nope
455,qk,jonah,0.9993505,Nope
456,qk,jonah,0.9727824,Nope
457,qk,jonah,0.9996885,Nope
458,qk,jonah,0.99970335,Nope
459,qk,jonah,0.9996922,Nope
460,qk,jonah,0.9997043,Nope
461,qk,jonah,0.99968874,Nope
462,qk,jc,0.96780807,Nope
463,qk,jonah,0.986639,Nope
464,qk,jonah,0.99966776,Nope
465,qk,jonah,0.9700426,Nope
466,qk,jonah,0.8130771,Nope
467,qk,jonah,0.9736816,Nope
468,qk,jc,0.7233773,Nope
469,qk,jonah,0.99958104,Nope
470,qk,jonah,0.9996896,Nope
471,qk,jonah,0.9993598,Nope
472,qk,jonah,0.9996842,Nope
473,qk,jonah,0.9993344,Nope
474,qk,jc,0.8650585,Nope
475,qk,jonah,0.9582986,Nope
476,qk,jonah,0.9996867,Nope
477,qk,jonah,0.9994987,Nope
478,qk,jonah,0.9996493,Nope
479,qk,jonah,0.99942064,Nope
