Subject,Class,Sequence,T2-D|0,T2-I|0+1,T2-PF|0+1,T2-RF|0+1,T2-D|1,T2-I|1+2,T2-PF|1+2,T2-RF|1+2,T2-D|2,T2-I|2+3,T2-PF|2+3,T2-RF|2+3,T2-D|3,T2-I|3+4,T2-PF|3+4,T2-RF|3+4,T2-D|4,T2-I|4+5,T2-PF|4+5,T2-RF|4+5,T2-D|5,T2-I|5+6,T2-PF|5+6,T2-RF|5+6,T2-D|6,T2-I|6+7,T2-PF|6+7,T2-RF|6+7,T2-D|7,T2-I|7+8,T2-PF|7+8,T2-RF|7+8,T2-D|8,T2-I|8+9,T2-PF|8+9,T2-RF|8+9,T2-D|9
andy,3,mad wabble,0.155289173,0.234702587,0.091735601,0.079413414,0.142966986,0.238083601,0.072559834,0.095116615,0.165523767,0.245422602,0.106676817,0.079898834,0.138745785,0.186274052,0.055847168,0.047528267,0.130426884,0.196233511,0.040366173,0.065806627,0.155867338,0.143088341,0.066265583,-0.012778997,0.076822758,0.242526531,0.123419762,0.165703773,0.11910677,0.171939135,0.04036808,0.052832365,0.131571054,0.18898344,0.075753689,0.057412386,0.113229752
andy,3,bad reread,0.116150141,0.285435677,0.085726261,0.169285536,0.199709415,0.24835062,0.127091408,0.048641205,0.121259212,0.230953455,0.108262777,0.109694242,0.122690678,0.23078227,0.085624456,0.108091593,0.145157814,0.284258842,0.166228056,0.139101028,0.118030787,0.394977808,0.245663404,0.276947021,0.149314404,0.225395203,0.065287352,0.076080799,0.160107851,0.271196604,0.069894791,0.111088753,0.201301813,0.291622877,0.135956526,0.090321064,0.155666351
andy,3,ink sienna,0.118185282,0.273709536,0.114183664,0.155524254,0.159525871,0.248386383,0.10693121,0.088860512,0.141455173,0.260569096,0.13545084,0.119113922,0.125118256,0.260406733,0.097863913,0.135288477,0.16254282,0.228094578,0.112841129,0.065551758,0.115253448,0.174287319,0.098314285,0.059033871,0.075973034,0.272022963,0.185927868,0.196049929,0.086095095,0.257719517,0.139502287,0.171624422,0.11821723,0.253026724,0.124215841,0.134809494,0.128810883
andy,3,ion doxies,0.082255125,0.330661058,0.189419508,0.248405933,0.14124155,0.283130646,0.142228365,0.141889095,0.140902281,0.240263224,0.098346949,0.099360943,0.141916275,0.343346596,0.218116045,0.201430321,0.125230551,0.214572191,0.095633268,0.08934164,0.118938923,0.220656395,0.089062452,0.101717472,0.131593943,0.256275892,0.114909887,0.12468195,0.141366005,0.203498125,0.086235046,0.06213212,0.117263079,0.199386597,0.054129362,0.082123518,0.145257235
andy,3,hey plains,0.106697083,0.214285135,0.117488861,0.107588053,0.096796274,0.225085497,0.090807676,0.128289223,0.134277821,0.221100569,0.124381065,0.086822748,0.096719503,0.142886639,0.026681662,0.046167135,0.116204977,0.18864131,0.046164989,0.072436333,0.14247632,0.205394745,0.088765621,0.062918425,0.116629124,0.225723743,0.100184441,0.10909462,0.125539303,0.19804883,0.046005487,0.072509527,0.152043343,0.221190214,0.082522869,0.069146872,0.138667345
andy,3,are minted,0.168446541,0.330255032,0.105325222,0.161808491,0.22492981,0.278539419,0.112186909,0.05360961,0.16635251,0.202694416,0.075674057,0.036341906,0.127020359,0.147087336,0.047059298,0.020066977,0.100028038,0.18258667,0.049623966,0.082558632,0.132962704,0.247680902,0.105907917,0.114718199,0.141772985,0.172591448,0.019953728,0.030818462,0.15263772,0.330597162,0.118520498,0.177959442,0.212076664,0.294122934,0.139454365,0.08204627,0.15466857
andy,3,art retell,0.15506196,0.18727994,0.092033386,0.032217979,0.095246553,0.355138302,0.207423449,0.259891748,0.147714853,0.29433918,0.154803991,0.146624327,0.139535189,0.248523712,0.100262403,0.108988523,0.148261309,0.228242397,0.08221221,0.079981089,0.146030188,0.332299948,0.184552193,0.18626976,0.147747755,0.23020792,0.078882694,0.082460165,0.151325226,0.217898846,0.148314714,0.06657362,0.069584131,0.211941719,0.102383614,0.142357588,0.109558105
andy,3,bob hacker,0.109653234,0.234335423,0.068387747,0.124682188,0.165947676,0.254038334,0.126527071,0.088090658,0.127511263,0.237660885,0.114284277,0.110149622,0.123376608,0.211363316,0.085954189,0.087986708,0.125409126,0.222265005,0.07252264,0.096855879,0.149742365,0.178746462,0.074109077,0.029004097,0.104637384,0.210958004,0.077623367,0.10632062,0.133334637,0.232339621,0.067200661,0.099004984,0.16513896,0.236953974,0.079130888,0.071815014,0.157823086
andy,3,ben podsol,0.099127769,0.224505424,0.102135181,0.125377655,0.122370243,0.221981525,0.119399786,0.099611282,0.102581739,0.254963875,0.130633116,0.152382135,0.124330759,0.241777658,0.08192277,0.117446899,0.159854889,0.308294296,0.16685009,0.148439407,0.141444206,0.353774548,0.199289799,0.212330341,0.154484749,0.270767927,0.145281553,0.116283178,0.125486374,0.28933382,0.167350531,0.163847446,0.12198329,0.24565959,0.135979652,0.1236763,0.109679937
andy,3,pal pulses,0.123839378,0.26079464,0.127866745,0.136955261,0.132927895,0.225665331,0.080210686,0.092737436,0.145454645,0.392424345,0.242187023,0.2469697,0.150237322,0.253143072,0.13218832,0.10290575,0.120954752,0.206137896,0.088097572,0.085183144,0.118040323,0.269122124,0.156831503,0.1510818,0.112290621,0.217222452,0.079277277,0.104931831,0.137945175,0.199719191,0.070353508,0.061774015,0.129365683,0.258740187,0.123365879,0.129374504,0.135374308
