,Results,Prediction,Accuracy,"cy, qk, ys, 111/144"
0,andy,cy,0.9999852,Nope
1,andy,cy,0.99971265,Nope
2,andy,cy,0.99165815,Nope
3,andy,cy,0.99999535,Nope
4,andy,cy,0.99998975,Nope
5,andy,cy,0.9999881,Nope
6,andy,cy,0.99999595,Nope
7,andy,cy,0.99995065,Nope
8,andy,cy,0.9997094,Nope
9,andy,cy,0.99999785,Nope
10,andy,cy,0.9999969,Nope
11,andy,cy,0.99999726,Nope
12,andy,cy,0.9999697,Nope
13,andy,cy,0.99999595,Nope
14,andy,cy,0.9997713,Nope
15,andy,cy,0.99999785,Nope
16,andy,cy,0.99999726,Nope
17,andy,cy,0.9999976,Nope
18,andy,cy,0.9936434,Nope
19,andy,cy,0.9999752,Nope
20,andy,qikai,0.72812873,Nope
21,andy,cy,0.9999881,Nope
22,andy,cy,0.999974,Nope
23,andy,cy,0.99993885,Nope
24,andy,qikai,0.6429946,Nope
25,andy,cy,0.99990857,Nope
26,andy,cy,0.9999223,Nope
27,andy,qikai,0.7593397,Nope
28,andy,cy,0.9998939,Nope
29,andy,cy,0.9991941,Nope
30,andy,cy,0.99991167,Nope
31,andy,cy,0.999995,Nope
32,andy,cy,0.99999535,Nope
33,andy,cy,0.9997602,Nope
34,andy,cy,0.9999975,Nope
35,andy,cy,0.9999964,Nope
36,andy,cy,0.999966,Nope
37,andy,cy,0.99999547,Nope
38,andy,cy,0.99999595,Nope
39,andy,cy,0.99993324,Nope
40,andy,cy,0.99974877,Nope
41,andy,cy,0.99999785,Nope
42,andy,cy,0.9985061,Nope
43,andy,cy,0.99998915,Nope
44,andy,cy,0.99998987,Nope
45,andy,cy,0.9816892,Nope
46,andy,qikai,0.6710198,Nope
47,andy,cy,0.99999785,Nope
48,azfar,ys,0.84858197,Nope
49,azfar,cy,0.75814587,Nope
50,azfar,cy,0.99971944,Nope
51,azfar,cy,0.99998605,Nope
52,azfar,cy,0.9997814,Nope
53,azfar,cy,0.99986804,Nope
54,azfar,cy,0.9993523,Nope
55,azfar,cy,0.9997285,Nope
56,azfar,cy,0.9999943,Nope
57,azfar,cy,0.99999785,Nope
58,azfar,cy,0.9999932,Nope
59,azfar,cy,0.9999937,Nope
60,azfar,ys,0.6689618,Nope
61,azfar,cy,0.9993536,Nope
62,azfar,cy,0.99993145,Nope
63,azfar,cy,0.99999726,Nope
64,azfar,cy,0.99993956,Nope
65,azfar,cy,0.9999676,Nope
66,azfar,cy,0.71097106,Nope
67,azfar,cy,0.9993563,Nope
68,azfar,cy,0.999912,Nope
